129.543	46.9701	0.15
123.867	50.0965	0.15
123.13	50.542	0.15
117.413	54.0155	0.15
116.73	54.342	0.15
110.096	59.0465	0.15
109.6	59.856	0.15
97.392	82.555	0.15
97.094	83.7595	0.15
97.025	112.263	0.15
97.0485	113.19	0.15
99.8605	123.768	0.15
100.141	124.525	0.15
103.674	129.383	0.15
103.984	129.998	0.15
106.989	133.223	0.15
107.549	133.797	0.15
110.386	136.492	0.15
111.01	135.898	0.15
124.303	122.945	0.15
120.843	119.909	0.15
120.156	119.523	0.15
116.85	116.749	0.15
116.182	116.332	0.15
112.277	113.328	0.15
111.724	112.974	0.15
106.543	108.57	0.15
106.222	107.668	0.15
99.0995	83.836	0.15
99.258	82.6475	0.15
114.07	67.154	0.15
114.961	66.92	0.15
121.635	64.505	0.15
122.369	64.27	0.15
128.393	62.371	0.15
129.047	62.214	0.15
134.999	60.6355	0.15
135.633	60.3925	0.15
142.428	58.275	0.15
137.755	44.1538	0.15
130.714	47.2175	0.15
130.093	47.6764	0.15
124.261	50.735	0.15
123.644	51.1595	0.15
117.758	54.7035	0.15
117.127	55.053	0.15
110.612	59.678	0.15
110.229	60.4185	0.15
98.4015	82.471	0.15
98.1115	83.8645	0.15
97.746	112.1	0.15
97.9015	113.036	0.15
100.555	123.464	0.15
100.852	124.145	0.15
104.287	128.88	0.15
104.799	129.529	0.15
107.546	132.591	0.15
108.174	133.198	0.15
111.01	135.898	0.15
110.386	136.492	0.15
98.1565	148.815	0.15
97.4365	149.358	0.15
94.09	145.254	0.15
93.736	144.639	0.15
90.3175	138.506	0.15
90.046	137.842	0.15
89.0505	126.935	0.15
89.116	126.095	0.15
91.4745	112.663	0.15
91.473	111.594	0.15
94.75	83.7375	0.15
94.919	82.4245	0.15
101.033	52.6705	0.15
101.356	51.912	0.15
106.58	43.6959	0.15
107.031	43.0523	0.15
111.907	36.9008	0.15
112.258	36.3548	0.15
117.276	30.7823	0.15
118.417	31.1303	0.15
130.35	46.5928	0.15
130.714	47.2175	0.15
135.633	60.3925	0.15
135.189	61.4205	0.15
129.272	62.9295	0.15
128.518	63.159	0.15
122.529	64.9605	0.15
121.734	65.1775	0.15
115.025	67.648	0.15
114.361	68.097	0.15
100.422	82.7135	0.15
100.022	83.83	0.15
106.831	107.267	0.15
107.208	108.07	0.15
112.273	112.242	0.15
112.841	112.642	0.15
116.751	115.615	0.15
117.314	115.949	0.15
120.787	118.737	0.15
121.315	119.145	0.15
124.856	122.365	0.15
135.346	108.213	0.15
130.44	105.317	0.15
129.817	105.014	0.15
125.332	102.862	0.15
124.73	102.551	0.15
120.02	100.431	0.15
119.4	100.198	0.15
113.874	97.714	0.15
113.528	96.471	0.15
103.479	83.693	0.15
103.949	83.079	0.15
116.579	83.668	0.15
117.314	83.6635	0.15
123.619	84.346	0.15
124.412	84.3905	0.15
129.951	85.0895	0.15
130.703	85.2015	0.15
136.108	85.994	0.15
136.853	86.172	0.15
143.103	87.0135	0.15
144.506	73.89	0.15
144.482	73.143	0.15
137.588	73.3555	0.15
136.82	73.4325	0.15
131.105	73.7015	0.15
130.395	73.6865	0.15
124.483	74.218	0.15
123.734	74.2895	0.15
117.162	75.0995	0.15
116.253	75.362	0.15
102.71	82.885	0.15
103.479	83.693	0.15
116.556	84.4245	0.15
117.326	84.436	0.15
123.607	85.149	0.15
124.282	85.173	0.15
129.802	85.8715	0.15
130.513	86.0035	0.15
135.9	86.834	0.15
136.642	86.9395	0.15
142.875	87.934	0.15
135.837	107.323	0.15
130.895	104.522	0.15
130.234	104.195	0.15
125.756	102.002	0.15
125.094	101.771	0.15
120.389	99.638	0.15
119.663	99.411	0.15
114.151	96.983	0.15
113.184	97.1995	0.15
